Rang sur 314,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre
232,Abbeville,81,233,14,107,154,181
263,Agen,162,239,53,95,260,65
1,Aix-en-Provence,32,53,3,8,30,20
4,Ajaccio,11,90,7,19,53,66
276,Albertville,237,154,9,174,222,234
269,Albi,185,142,7,356,132,164
117,Alençon,147,87,15,89,143,65
175,Alés,48,199,8,77,196,123
230,Altkirch,144,NA,5,117,188,NA
218,Ambert,62,NA,6,NA,190,NA
12,Amiens,21,90,5,93,33,46
277,Ancenis-St-Geréon,163,284,13,NA,101,NA
155,Angers,109,145,68,86,79,89
65,Angouléme,118,146,5,76,108,73
32,Annecy,56,193,8,57,30,33
303,Apt,203,141,5,69,226,154
127,Arcachon,16,154,1,106,94,15
179,Argelés-Gazost,NA,213,14,182,26,61
260,Argentan,94,167,5,144,120,NA
48,Argenteuil,132,117,2,52,17,10
138,Arles,106,85,9,89,96,123
61,Arras,143,217,2,75,20,59
261,Aubusson,34,NA,9,NA,264,NA
186,Auch,104,317,2,98,242,141
174,Aurillac,69,134,15,128,343,20
235,Autun,74,NA,3,NA,201,NA
42,Auxerre,148,155,1,51,104,49
283,Avallon,187,NA,10,NA,NA,NA
264,Avesnes-sur-Helpe,105,253,5,95,8,21
54,Avignon,95,110,4,52,144,172
258,Avranches,143,124,9,235,205,117
215,Bagnéres-de-Bigorre,63,241,14,NA,103,NA
137,Bar-le-Duc,239,153,5,133,165,12
247,Bar-sur-Aube,132,87,148,NA,113,NA
251,Barcelonnette,105,342,73,125,104,NA
35,Bastia,76,104,5,75,94,106
53,Bayeux,64,45,10,61,119,122
153,Bayonne,111,156,3,142,2,56
155,Beaune,156,74,5,54,167,NA
7,Beauvais,14,64,16,56,12,16
33,Belfort,41,152,8,41,133,43
272,Bellac,126,NA,9,NA,143,NA
122,Belley,127,100,6,31,192,54
13,Bergerac,80,95,4,96,70,36
168,Bernay,130,101,14,104,344,21
153,Besançon,114,129,89,51,224,41
171,Béthune,206,151,5,17,110,207
80,Béziers,48,197,5,90,180,38
177,Blaye,146,283,2,111,119,261
65,Blois,166,141,2,20,244,18
211,Bonneville,104,196,11,85,119,13
182,Bordeaux,134,187,116,30,55,14
183,Boulogne-sur-Mer,64,152,88,80,78,43
111,Bourg-en-Bresse,62,94,40,117,232,8
88,Bourges,80,91,16,136,116,46
286,Bressuire,127,NA,23,103,224,NA
110,Brest,46,106,14,311,46,23
241,Briançon,46,NA,5,136,NA,NA
283,Brignoles,101,134,9,103,187,187
262,Brioude,155,NA,9,26,NA,NA
163,Brive-la-Gaillarde,53,192,17,102,135,119
99,Caen,154,105,11,27,184,55
108,Cahors,88,192,9,111,165,15
65,Calais,65,90,7,58,133,336
250,Calvi,29,NA,6,148,163,NA
136,Cambrai,NA,268,90,13,211,27
202,Carcassonne,28,159,146,155,328,14
71,Carpentras,59,188,2,106,17,34
297,Castellane,49,NA,7,136,NA,NA
275,Castelsarrasin,155,NA,5,123,371,NA
44,Castres,35,205,1,6,223,39
309,Ceret,95,164,13,115,255,NA
62,Cergy,43,169,4,92,255,16
146,Chalon-sur-Saône,175,148,5,37,332,11
11,Chalons-en-Champagne,21,116,3,53,124,70
6,Chambéry,7,12,2,116,13,9
161,Charleville-Méziéres,47,141,118,122,152,68
243,Charolles,11,NA,52,146,218,10
42,Chartres,NA,132,4,80,78,57
314,Chateau-Chinon,144,NA,89,NA,NA,NA
290,Chateau-Gontier-sur-Mayenne,144,NA,10,109,320,NA
227,Chateau-Thierry,72,NA,49,94,202,78
214,Chateaubriant,134,164,10,183,72,NA
292,Chateaudun,232,NA,3,196,295,NA
213,Chateaulin,105,NA,4,NA,113,NA
254,Chateauroux,139,178,14,101,232,NA
150,Chatellerault,78,98,2,102,335,66
94,Chaumont,92,152,4,50,378,83
237,Cherbourg-en-Cotentin,92,142,9,245,214,194
207,Chinon,181,62,11,198,359,16
142,Cholet,102,147,16,69,144,108
295,Clamecy,100,NA,4,NA,NA,56
95,Clermont,62,NA,6,105,169,15
90,Clermont-Ferrand,9,141,3,121,194,18
59,Cognac,132,124,4,126,56,63
41,Colmar,40,190,4,180,72,30
244,Commercy,138,98,19,172,185,NA
93,Compiégne,251,221,10,24,103,14
265,Condom,167,NA,6,166,156,NA
297,Confolens,243,123,96,167,196,NA
191,Corte,292,41,8,154,115,364
64,Cosne-Cours-sur-Loire,153,230,2,76,46,73
144,Coutances,136,95,4,216,88,NA
9,Dax,26,129,4,4,6,136
247,Die,221,133,6,NA,34,NA
217,Dieppe,155,114,20,161,215,34
132,Digne-les-Bains,90,290,5,110,140,82
33,Dijon,53,58,7,103,207,9
109,Dinan,80,122,87,83,99,80
130,Dole,116,131,4,92,219,136
176,Douai,58,185,2,123,292,17
158,Draguignan,39,68,3,19,14,8
52,Dreux,57,33,8,86,225,39
170,Dunkerque,28,212,88,81,93,38
233,Epernay,62,229,6,181,324,151
46,Epinal,14,132,4,83,271,63
155,Etampes,155,158,6,6,252,109
141,Evreux,54,136,11,48,204,NA
149,Evry-Courcouronnes,97,88,7,50,39,101
119,Figeac,122,179,2,115,150,115
255,Florac Trois Rivieres,32,NA,4,NA,NA,NA
164,Foix,45,58,98,117,223,98
18,Fontainebleau,9,189,17,43,25,7
190,Fontenay-le-Comte,124,149,6,134,142,NA
221,Forbach,8,168,6,157,242,118
208,Forcalquier,129,29,5,173,159,45
105,Fougéres,64,140,7,127,180,55
47,Gap,51,65,12,36,187,78
171,Gex,98,NA,6,68,189,50
225,Gourdon,120,91,8,NA,203,NA
80,Grasse,56,125,106,2,6,6
201,Grenoble,136,124,7,50,169,98
196,Guéret,98,NA,5,27,276,82
164,Guingamp,137,221,6,38,140,34
40,Haguenau,19,112,9,8,8,49
160,Issoire,212,54,4,138,249,75
304,Issoudun,129,NA,63,NA,152,NA
49,Istres,19,176,5,5,20,37
279,Jonzac,57,NA,3,NA,211,NA
312,La Chatre,192,175,23,NA,358,NA
291,La Fleche,163,298,19,69,377,NA
86,La Roche-sur-Yon,104,143,16,126,71,10
26,La Rochelle,112,133,4,92,21,33
234,La Tour-du-Pin,188,210,24,151,7,22
205,Langon,118,110,19,125,105,100
120,Langres,155,91,13,33,108,NA
105,Lannion,106,77,6,47,227,NA
8,Laon,33,110,5,23,138,2
130,Largentiére,154,25,89,35,95,127
168,Laval,180,172,6,82,268,34
258,Le Blanc,143,188,37,NA,50,NA
3,Le Havre,19,115,2,39,6,58
101,Le Mans,175,241,5,117,11,32
161,Le Puy-en-Velay,70,162,8,107,184,98
171,Le Vigan,108,96,5,149,191,NA
193,Lens,22,46,4,56,247,104
209,Les Andelys,171,222,313,114,8,47
199,Les Sables-d'Olonne,14,145,80,150,126,207
241,Lesparre-Médoc,176,74,22,107,309,106
107,Libourne,NA,203,5,265,8,117
80,Lille,131,155,5,38,66,24
164,Limoges,120,57,6,134,292,106
98,Limoux,26,83,6,NA,117,NA
148,Lisieux,183,58,8,24,225,110
220,Loches,189,230,28,24,134,123
115,Lodéve,99,77,7,2,38,97
178,Lons-le-Saunier,103,118,8,78,269,184
28,Lorient,22,117,2,168,78,45
301,Louhans,172,NA,29,53,447,NA
151,Lunéville,26,97,86,59,237,187
215,Lure,148,278,8,134,92,78
75,Lyon,59,144,5,72,26,36
85,Macon,41,149,8,106,108,116
294,Mamers,126,NA,8,NA,222,NA
10,Mantes-la-Jolie,17,105,3,97,142,6
134,Marmande,149,NA,4,26,106,NA
31,Marseille,118,135,3,63,115,39
261,Mauriac,110,78,26,NA,239,NA
287,Mayenne,166,175,20,141,213,NA
20,Meaux,19,140,2,26,30,156
92,Melun,16,173,10,90,95,9
228,Mende,101,229,7,156,198,124
35,Metz,14,186,2,73,184,44
27,Millau,106,75,4,109,155,13
296,Mirande,70,NA,3,NA,NA,NA
78,Molsheim,13,93,6,89,240,119
28,Mont-de-Marsan,105,77,2,60,89,2
124,Montargis,103,139,3,21,252,74
37,Montauban,115,82,6,146,5,36
140,Montbard,102,28,5,302,NA,53
272,Montbéliard,89,201,6,125,387,97
204,Montbrison,139,165,57,3,81,187
311,Montdidier,148,125,20,NA,240,NA
181,Montlucon,26,174,84,121,179,79
267,Montmorillon,152,24,21,NA,NA,119
2,Montpellier,7,14,2,52,69,74
245,Montreuil,142,128,4,97,301,85
252,Morlaix,129,223,19,164,316,24
308,Mortagne-au-Perche,165,NA,19,NA,158,59
280,Moulins,113,345,93,116,189,NA
25,Mulhouse,76,142,2,99,13,63
180,Muret,76,182,18,128,133,48
16,Nancy,34,88,2,25,99,148
78,Nantes,48,127,13,19,281,33
253,Nantua,155,NA,111,129,44,2
87,Narbonne,38,108,79,64,144,88
300,Nerac,154,NA,14,NA,145,NA
103,Neufchateau,51,82,22,80,124,NA
184,Nevers,150,233,2,122,206,89
30,Nice,61,106,231,60,1,6
152,Nimes,30,178,5,336,132,82
60,Niort,21,151,2,104,154,82
185,Nogent-le-Rotrou,103,207,4,NA,83,NA
