insee_code,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank
80001,Abbeville,81,233,14,107,154,181,232
47001,Agen,162,239,53,95,260,65,263
13001,Aix-en-Provence,32,53,3,8,30,20,1
2A004,Ajaccio,11,90,7,19,53,66,4
73011,Albertville,237,154,9,174,222,234,276
81004,Albi,185,142,7,356,132,164,269
61001,Alençon,147,87,15,89,143,65,117
30007,Alès,48,199,8,77,196,123,175
68004,Altkirch,144,NA,5,117,188,NA,230
63003,Ambert,62,NA,6,NA,190,NA,218
80021,Amiens,21,90,5,93,33,46,12
44003,Ancenis-St-Géréon,163,284,13,NA,101,NA,277
49007,Angers,109,145,68,86,79,89,155
16015,Angoulême,118,146,5,76,108,73,65
74010,Annecy,56,193,8,57,30,33,32
84003,Apt,203,141,5,69,226,154,303
33009,Arcachon,16,154,1,106,94,15,127
65025,Argelès-Gazost,NA,213,14,182,26,61,179
61006,Argentan,94,167,5,144,120,NA,260
95018,Argenteuil,132,117,2,52,17,10,48
13004,Arles,106,85,9,89,96,123,138
62041,Arras,143,217,2,75,20,59,61
23008,Aubusson,34,NA,9,NA,264,NA,261
32013,Auch,104,317,2,98,242,141,186
15014,Aurillac,69,134,15,128,343,20,174
71014,Autun,74,NA,3,NA,201,NA,235
89024,Auxerre,148,155,1,51,104,49,42
89025,Avallon,187,NA,10,NA,NA,NA,283
59036,Avesnes-sur-Helpe,105,253,5,95,8,21,264
84007,Avignon,95,110,4,52,144,172,54
50025,Avranches,143,124,9,235,205,117,258
65059,Bagnères-de-Bigorre,63,241,14,NA,103,NA,215
55029,Bar-le-Duc,239,153,5,133,165,12,137
10033,Bar-sur-Aube,132,87,148,NA,113,NA,247
04019,Barcelonnette,105,342,73,125,104,NA,251
2B033,Bastia,76,104,5,75,94,106,35
14047,Bayeux,64,45,10,61,119,122,53
64102,Bayonne,111,156,3,142,2,56,153
21054,Beaune,156,74,5,54,167,NA,155
60057,Beauvais,14,64,16,56,12,16,7
90010,Belfort,41,152,8,41,133,43,33
87011,Bellac,126,NA,9,NA,143,NA,272
01034,Belley,127,100,6,31,192,54,122
24037,Bergerac,80,95,4,96,70,36,13
27056,Bernay,130,101,14,104,344,21,168
25056,Besançon,114,129,89,51,224,41,153
62119,Béthune,206,151,5,17,110,207,171
34032,Béziers,48,197,5,90,180,38,80
33058,Blaye,146,283,2,111,119,261,177
41018,Blois,166,141,2,20,244,18,65
74042,Bonneville,104,196,11,85,119,13,211
33063,Bordeaux,134,187,116,30,55,14,182
62160,Boulogne-sur-Mer,64,152,88,80,78,43,183
01053,Bourg-en-Bresse,62,94,40,117,232,8,111
18033,Bourges,80,91,16,136,116,46,88
79049,Bressuire,127,NA,23,103,224,NA,286
29019,Brest,46,106,14,311,46,23,110
05023,Briançon,46,NA,5,136,NA,NA,241
83023,Brignoles,101,134,9,103,187,187,283
43040,Brioude,155,NA,9,26,NA,NA,262
19031,Brive-la-Gaillarde,53,192,17,102,135,119,163
14118,Caen,154,105,11,27,184,55,99
46042,Cahors,88,192,9,111,165,15,108
