insee_code,name
80001,Abbeville
47001,Agen
13001,Aix-en-Provence
2A004,Ajaccio
73011,Albertville
81004,Albi
61001,Alençon
68004,Altkirch
30007,Alès
63003,Ambert
80021,Amiens
44003,Ancenis-St-Géréon
49007,Angers
16015,Angoulême
74010,Annecy
92002,Antony
84003,Apt
33009,Arcachon
65025,Argelès-Gazost
61006,Argentan
95018,Argenteuil
13004,Arles
62041,Arras
23008,Aubusson
32013,Auch
15014,Aurillac
71014,Autun
89024,Auxerre
89025,Avallon
59036,Avesnes-sur-Helpe
84007,Avignon
50025,Avranches
65059,Bagnères-de-Bigorre
55029,Bar-le-Duc
10033,Bar-sur-Aube
04019,Barcelonnette
2B033,Bastia
14047,Bayeux
64102,Bayonne
21054,Beaune
60057,Beauvais
90010,Belfort
87011,Bellac
01034,Belley
24037,Bergerac
27056,Bernay
25056,Besançon
33058,Blaye
41018,Blois
93008,Bobigny
74042,Bonneville
33063,Bordeaux
92012,Boulogne-Billancourt
62160,Boulogne-sur-Mer
01053,Bourg-en-Bresse
18033,Bourges
79049,Bressuire
29019,Brest
05023,Briançon
83023,Brignoles
43040,Brioude
19031,Brive-la-Gaillarde
62119,Béthune
34032,Béziers
14118,Caen
46042,Cahors
62193,Calais
2B050,Calvi
59122,Cambrai
11069,Carcassonne
84031,Carpentras
04039,Castellane
82033,Castelsarrasin
81065,Castres
95127,Cergy
71076,Chalon-sur-Saône
73065,Chambéry
08105,Charleville-Mézières
71106,Charolles
28085,Chartres
52121,Chaumont
50129,Cherbourg-en-Cotentin
37072,Chinon
49099,Cholet
51108,Châlons-en-Champagne
58062,Château-Chinon
53062,Château-Gontier-sur-Mayenne
02168,Château-Thierry
44036,Châteaubriant
28088,Châteaudun
29026,Châteaulin
36044,Châteauroux
86066,Châtellerault
58079,Clamecy
60157,Clermont
63113,Clermont-Ferrand
16102,Cognac
68066,Colmar
55122,Commercy
60159,Compiègne
32107,Condom
16106,Confolens
2B096,Corte
58086,Cosne-Cours-sur-Loire
50147,Coutances
94028,Créteil
66049,Céret
40088,Dax
26113,Die
76217,Dieppe
04070,Digne-les-Bains
21231,Dijon
22050,Dinan
39198,Dole
59178,Douai
