insee_code,population,densite,rate_60_and_over,median_income
80001,22837.0,864.4,29.8,17910.0
47001,33012.0,2873.1,24.1,18180.0
13001,143097.0,769.0,24.4,24340.0
2A004,70817.0,863.3,28.6,21480.0
73011,19214.0,1095.4,28.3,19740.0
81004,48993.0,1106.9,31.9,20360.0
61001,25775.0,2413.4,29.4,18200.0
30007,40802.0,1761.7,32.5,16830.0
68004,5698.0,597.3,25.1,22610.0
63003,6634.0,109.7,36.5,20860.0
80021,133891.0,2707.1,19.7,18550.0
44003,11012.0,399.3,27.9,21460.0
49007,154508.0,3617.6,22.4,20100.0
16015,41711.0,1909.0,25.1,18850.0
74010,128199.0,1915.4,25.8,24830.0
84003,11011.0,247.0,32.900000000000006,17620.0
33009,11567.0,1530.0,57.3,24920.0
65025,2901.0,951.1,44.7,20780.0
61006,13730.0,755.2,32.6,18410.0
95018,110213.0,6400.3,16.9,18270.0
13004,51031.0,67.2,32.0,18770.0
62041,41555.0,3573.1,21.7,18870.0
23008,3328.0,173.2,43.0,18040.0
32013,22200.0,306.3,32.8,20240.0
15014,25531.0,887.7,32.6,20700.0
71014,13157.0,213.9,37.1,18940.0
89024,34764.0,696.0,28.7,19040.0
89025,6513.0,243.5,34.1,18450.0
59036,4345.0,1881.0,26.8,15140.0
84007,91729.0,1413.2,23.9,16580.0
50025,10246.0,932.3,33.8,20850.0
65059,7103.0,56.4,43.4,19430.0
55029,14733.0,623.8,30.200000000000003,19860.0
10033,4844.0,297.7,35.7,18330.0
04019,2575.0,156.8,33.1,19500.0
2B033,48044.0,2479.1,25.7,19100.0
14047,13017.0,1833.4,36.5,19860.0
64102,51411.0,2371.4,26.3,20040.0
21054,20711.0,661.7,30.9,21300.0
60057,56605.0,1699.3,22.3,18470.0
90010,46954.0,2745.8,23.6,18230.0
87011,3652.0,149.5,44.4,18650.0
01034,9122.0,406.9,28.700000000000003,19900.0
24037,26823.0,478.1,38.2,18700.0
27056,9951.0,414.1,36.7,19480.0
25056,116775.0,1795.2,23.2,19570.0
62119,25193.0,2663.1,23.4,17730.0
34032,77599.0,812.7,28.8,16030.0
33058,4821.0,750.9,27.3,18600.0
41018,45871.0,1224.5,26.0,18500.0
74042,12557.0,462.5,17.6,23700.0
33063,257068.0,5208.0,18.8,23070.0
62160,40664.0,4829.5,24.2,16590.0
01053,41248.0,1728.8,28.3,19180.0
18033,64668.0,940.8,29.4,20560.0
79049,19733.0,109.3,27.1,20380.0
29019,139602.0,2819.7,22.0,20240.0
05023,11084.0,394.9,28.1,20450.0
83023,17364.0,246.2,26.3,18550.0
43040,6681.0,494.2,38.7,19230.0
19031,46630.0,959.7,34.0,19980.0
14118,105512.0,4105.5,22.8,20450.0
46042,19907.0,307.6,34.4,20450.0
62193,72929.0,2177.0,21.8,16710.0
2B050,5666.0,181.6,22.0,18970.0
59122,32501.0,1787.7,28.1,18400.0
11069,46513.0,714.7,30.3,18110.0
84031,28798.0,759.4,29.4,17430.0
04039,1497.0,12.7,38.7,19900.0
82033,13934.0,181.5,28.9,18450.0
81065,41795.0,425.7,32.0,19490.0
66049,7821.0,206.6,40.400000000000006,20540.0
95127,66322.0,5692.9,11.9,19410.0
71076,44810.0,2944.2,28.4,18520.0
51108,44246.0,1698.5,24.5,19270.0
73065,58833.0,2802.9,24.1,20620.0
08105,46391.0,1475.5,28.4,17500.0
71106,2810.0,140.6,38.7,20280.0
28085,38426.0,2280.5,27.5,21600.0
58062,1926.0,450.0,37.2,17760.0
53062,16913.0,246.9,33.400000000000006,21110.0
02168,15351.0,927.6,26.8,18020.0
44036,12011.0,357.3,34.3,19150.0
28088,13078.0,459.2,29.8,18640.0
29026,5189.0,249.4,28.0,20630.0
36044,43442.0,1700.9,30.0,19320.0
86066,31733.0,611.1,32.9,19260.0
52121,21990.0,397.9,28.8,20360.0
50129,79144.0,1154.7,26.8,21160.0
37072,8145.0,208.7,36.3,20750.0
49099,54186.0,619.5,28.0,20830.0
58079,3674.0,121.4,38.6,17610.0
60157,10183.0,1752.7,22.4,20590.0
63113,146734.0,3438.8,21.5,19460.0
16102,18628.0,1201.8,29.1,20480.0
68066,68703.0,1032.0,25.1,19850.0
55122,5399.0,152.6,31.0,17860.0
60159,40542.0,763.5,24.4,19860.0
32107,6508.0,66.8,41.0,18530.0
16106,2673.0,113.1,44.5,20200.0
2B096,7468.0,50.0,19.8,19560.0
58086,9741.0,182.8,41.6,19990.0
50147,8454.0,675.8,31.5,19210.0
40088,20762.0,1053.9,35.6,19310.0
26113,4665.0,81.4,36.6,20100.0
76217,28561.0,2447.4,34.7,17810.0
04070,16333.0,139.5,33.0,20230.0
21231,156854.0,3881.6,22.7,21650.0
