insee_code,solar_exposure,precipitation,temperature
80001,,,
47001,,,
13001,2861.0,585.8,14.3
2A004,2755.8,615.6,15.5
73011,,,
81004,2250.0,730.9,13.4
61001,,,
30007,,,
68004,,,
63003,1938.3,873.3,9.9
80021,,691.9,10.7
44003,,,
49007,1798.5,693.3,12.3
16015,2089.3,843.2,12.8
74010,2053.1,1249.4,10.9
84003,,,
33009,,,
65025,,,
61006,,,
95018,,,
13004,,580.2,14.8
62041,,739.9,10.6
23008,,,
32013,1928.6,685.4,13.1
15014,2117.5,1174.0,10.2
71014,,,
89024,1748.6,707.9,11.5
89025,,806.7,11.5
59036,,,
84007,,676.6,14.9
50025,,,
65059,,,
55029,,,
10033,,,
04019,,,
2B033,,,
14047,,927.2,11.2
64102,,1482.9,13.7
21054,,,
60057,1669.4,669.4,10.7
90010,,1122.3,10.1
87011,,,
01034,,1479.0,11.2
24037,,,
27056,,,
25056,1836.4,1187.0,11.0
62119,,,
34032,,595.7,15.1
33058,,,
41018,1743.6,639.2,11.6
74042,,,
33063,,,
62160,,777.9,10.9
01053,1787.2,1153.0,10.7
18033,1827.5,747.9,11.7
79049,,,
29019,1529.8,1210.0,11.5
05023,,735.0,7.7
83023,,,
43040,,,
19031,,,
14118,1691.2,739.9,11.2
46042,,,
62193,,722.6,10.9
2B050,,,
59122,,,
11069,,,
84031,,,
04039,,,
82033,,,
81065,,,
66049,,,
95127,,,
71076,1852.8,759.8,10.9
51108,,,
73065,,,
08105,1515.9,958.4,
71106,,,
28085,,,
58062,,,
53062,,,
02168,,,
44036,,,
28088,,,
29026,,,
36044,1840.7,737.1,11.8
86066,,,
52121,,,
50129,,,
37072,,,
49099,,,
58079,,,
60157,,,
63113,1913.0,578.9,11.6
16102,2024.9,783.6,12.5
68066,1799.0,607.3,10.9
55122,1664.9,775.1,10.0
60159,,662.2,11.1
32107,,,
16106,,,
2B096,,,
58086,,,
50147,,1061.2,11.2
40088,,,
26113,,,
76217,,798.2,10.9
04070,2775.4,694.9,12.9
21231,1848.8,760.5,11.0
22050,,,
39198,,996.9,10.5
59178,,,
83050,,,
28134,,,
59183,,,
51230,,,
88160,1734.4,923.7,9.9
91223,1798.0,598.3,10.8
27229,1684.0,611.6,
91228,,,
46102,,,
48061,,,
09122,,,
77186,,734.0,11.0
85092,,,
57227,,,
04088,,,
35115,,,
05061,,,
01173,,1042.0,9.2
46127,,,
06069,,,
38185,,923.9,13.4
23096,,,
22070,,,
67180,,,
63178,,,
