,attractiveness_rank
80001,731
47001,70
13001,94
2A004,36
73011,301
81004,117
61001,258
68004,1420
30007,492
63003,3207
80021,160
44003,1066
49007,3
16015,211
74010,1
92002,74
84003,3109
33009,248
65025,6743
61006,780
95018,65
13004,44
62041,134
23008,2823
32013,328
15014,52
71014,707
89024,536
89025,2060
59036,4934
84007,9
50025,48
65059,1978
55029,390
10033,2450
04019,4647
2B033,20
14047,383
64102,2
21054,264
60057,106
90010,283
87011,2428
01034,902
24037,212
27056,586
25056,215
33058,163
41018,187
93008,440
74042,851
33063,8
92012,35
62160,46
01053,129
18033,128
79049,1485
29019,6
05023,408
83023,979
43040,1616
19031,60
62119,451
34032,204
14118,6
46042,203
62193,41
2B050,379
59122,572
11069,88
84031,206
04039,12411
82033,1545
81065,73
95127,82
71076,136
73065,23
08105,142
71106,5723
28085,334
52121,567
50129,7
37072,1917
49099,90
51108,181
58062,5180
53062,1080
02168,1158
44036,710
28088,716
29026,4153
36044,36
86066,326
58079,2885
60157,1585
63113,53
16102,642
68066,72
55122,1705
60159,388
32107,2865
16106,5505
2B096,3630
58086,1499
50147,592
94028,50
66049,3538
40088,151
26113,5488
76217,56
04070,312
21231,25
22050,133
39198,251
59178,418
83050,433
28134,580
59183,38
46102,591
48061,6870
09122,878
77186,498
85092,1207
57227,432
04088,3775
35115,703
05061,205
01173,1962
46127,2119
06069,178
38185,114
22070,422
23096,321
67180,550
63178,583
36088,725
13047,115
17197,2500
94038,306
36046,4856
72154,1660
85191,39
17300,3
38509,2077
97230,/ 34 837
33227,1474
52269,1130
22113,11
02408,646
07132,8980
53130,79
36018,3332
76351,8
72181,5
97217,/ 34 837
43157,100
93062,928
30350,2539
62498,389
27016,2497
85194,31
33240,2394
33243,560
59350,91
87085,26
11206,2042
14366,311
37132,1245
34142,4145
39300,162
56121,5
71263,2009
54329,564
70310,1405
69123,56
72180,2673
78361,324
47157,430
13055,21
15120,3566
53147,718
77284,394
77288,158
48095,236
57463,18
12145,419
32256,4680
67300,2052
40192,193
45208,584
82121,143
21425,2426
42147,506
25388,545
80561,3101
03185,319
86165,4439
34172,37
62588,5430
29151,26
61293,4492
03190,379
68224,149
31395,773
71270,299
54395,96
92050,44
44109,22
01269,2900
11262,27
88321,1480
58194,329
06088,4
79191,87
28280,1246
94052,47
10268,4223
24311,7078
26220,5485
47195,1106
30189,46
64422,1023
45234,34
91477,99
09225,1203
75056,55
79202,1849
64445,14
66136,58
45252,2395
97120,/ 34 837
86194,93
25462,598
56178,1402
95500,202
66149,1534
07186,1254
77379,897
24322,235
80620,1190
29232,42
78517,277
35236,249
51454,118
35238,12
08362,2628
63300,493
42187,216
87126,2379
17299,22
12202,16
41194,629
76540,89
18197,1439
97410,/ 34 837
22278,12
39478,794
93066,148
52448,838
88413,261
15187,439
31483,717
78551,57
09261,4029
17347,1484
73248,874
74243,581
97311,/ 34 837
50502,244
35288,17
44184,18
62765,893
97415,/ 34 837
97416,/ 34 837
02691,132
42218,20
51507,4542
17415,470
95585,146
24520,595
57630,502
57631,256
2A272,658
49328,182
67437,304
08409,607
49331,3041
60612,680
89387,682
02722,590
67482,13
67462,338
65440,111
68334,1913
63430,257
57672,131
74281,30
77468,213
54528,1035
83137,14
31555,29
07324,1280
37261,24
10387,81
19272,123
19275,1006
54099,1166
26362,97
59606,121
56260,19
41269,712
55545,368
78646,49
02789,8724
70550,285
03310,177
38544,417
18279,403
12300,657
69264,530
47323,472
14762,920
51649,1761
08490,10470
43268,2145
51230,546
88160,59
91223,395
27229,246
91228,48
