insee_code,name,rate_60_and_over,median_income,solar_exposure,precipitation,temperature
80001,Abbeville,29.8,17910.0,,,
47001,Agen,24.1,18180.0,,,
13001,Aix-en-Provence,24.4,24340.0,2861.0,585.8,14.3
2A004,Ajaccio,28.6,21480.0,2755.8,615.6,15.5
73011,Albertville,28.3,19740.0,,,
81004,Albi,31.9,20360.0,2250.0,730.9,13.4
61001,Alençon,29.4,18200.0,,,
30007,Alès,32.5,16830.0,,,
68004,Altkirch,25.1,22610.0,,,
63003,Ambert,36.5,20860.0,1938.3,873.3,9.9
80021,Amiens,19.7,18550.0,,691.9,10.7
44003,Ancenis-Saint-Géréon,27.9,21460.0,,,
49007,Angers,22.4,20100.0,1798.5,693.3,12.3
16015,Angoulême,25.1,18850.0,2089.3,843.2,12.8
74010,Annecy,25.8,24830.0,2053.1,1249.4,10.9
84003,Apt,32.900000000000006,17620.0,,,
33009,Arcachon,57.3,24920.0,,,
65025,Argelès-Gazost,44.7,20780.0,,,
61006,Argentan,32.6,18410.0,,,
95018,Argenteuil,16.9,18270.0,,,
13004,Arles,32.0,18770.0,,580.2,14.8
62041,Arras,21.7,18870.0,,739.9,10.6
23008,Aubusson,43.0,18040.0,,,
32013,Auch,32.8,20240.0,1928.6,685.4,13.1
15014,Aurillac,32.6,20700.0,2117.5,1174.0,10.2
71014,Autun,37.1,18940.0,,,
89024,Auxerre,28.7,19040.0,1748.6,707.9,11.5
89025,Avallon,34.1,18450.0,,806.7,11.5
59036,Avesnes-sur-Helpe,26.8,15140.0,,,
84007,Avignon,23.9,16580.0,,676.6,14.9
50025,Avranches,33.8,20850.0,,,
65059,Bagnères-de-Bigorre,43.4,19430.0,,,
55029,Bar-le-Duc,30.200000000000003,19860.0,,,
10033,Bar-sur-Aube,35.7,18330.0,,,
04019,Barcelonnette,33.1,19500.0,,,
2B033,Bastia,25.7,19100.0,,,
14047,Bayeux,36.5,19860.0,,927.2,11.2
64102,Bayonne,26.3,20040.0,,1482.9,13.7
21054,Beaune,30.9,21300.0,,,
60057,Beauvais,22.3,18470.0,1669.4,669.4,10.7
90010,Belfort,23.6,18230.0,,1122.3,10.1
87011,Bellac,44.4,18650.0,,,
01034,Belley,28.700000000000003,19900.0,,1479.0,11.2
24037,Bergerac,38.2,18700.0,,,
27056,Bernay,36.7,19480.0,,,
25056,Besançon,23.2,19570.0,1836.4,1187.0,11.0
62119,Béthune,23.4,17730.0,,,
34032,Béziers,28.8,16030.0,,595.7,15.1
33058,Blaye,27.3,18600.0,,,
41018,Blois,26.0,18500.0,1743.6,639.2,11.6
74042,Bonneville,17.6,23700.0,,,
33063,Bordeaux,18.8,23070.0,,,
62160,Boulogne-sur-Mer,24.2,16590.0,,777.9,10.9
01053,Bourg-en-Bresse,28.3,19180.0,1787.2,1153.0,10.7
18033,Bourges,29.4,20560.0,1827.5,747.9,11.7
79049,Bressuire,27.1,20380.0,,,
29019,Brest,22.0,20240.0,1529.8,1210.0,11.5
05023,Briançon,28.1,20450.0,,735.0,7.7
83023,Brignoles,26.3,18550.0,,,
43040,Brioude,38.7,19230.0,,,
19031,Brive-la-Gaillarde,34.0,19980.0,,,
14118,Caen,22.8,20450.0,1691.2,739.9,11.2
46042,Cahors,34.4,20450.0,,,
62193,Calais,21.8,16710.0,,722.6,10.9
2B050,Calvi,22.0,18970.0,,,
59122,Cambrai,28.1,18400.0,,,
11069,Carcassonne,30.3,18110.0,,,
84031,Carpentras,29.4,17430.0,,,
04039,Castellane,38.7,19900.0,,,
82033,Castelsarrasin,28.9,18450.0,,,
81065,Castres,32.0,19490.0,,,
66049,Céret,40.400000000000006,20540.0,,,
95127,Cergy,11.9,19410.0,,,
71076,Chalon-sur-Saône,28.4,18520.0,1852.8,759.8,10.9
51108,Châlons-en-Champagne,24.5,19270.0,,,
73065,Chambéry,24.1,20620.0,,,
08105,Charleville-Mézières,28.4,17500.0,1515.9,958.4,
71106,Charolles,38.7,20280.0,,,
28085,Chartres,27.5,21600.0,,,
58062,Château-Chinon,37.2,17760.0,,,
53062,Château-Gontier-sur-Mayenne,33.400000000000006,21110.0,,,
02168,Château-Thierry,26.8,18020.0,,,
44036,Châteaubriant,34.3,19150.0,,,
28088,Châteaudun,29.8,18640.0,,,
29026,Châteaulin,28.0,20630.0,,,
36044,Châteauroux,30.0,19320.0,1840.7,737.1,11.8
86066,Châtellerault,32.9,19260.0,,,
52121,Chaumont,28.8,20360.0,,,
50129,Cherbourg-en-Cotentin,26.8,21160.0,,,
37072,Chinon,36.3,20750.0,,,
49099,Cholet,28.0,20830.0,,,
58079,Clamecy,38.6,17610.0,,,
60157,Clermont,22.4,20590.0,,,
63113,Clermont-Ferrand,21.5,19460.0,1913.0,578.9,11.6
16102,Cognac,29.1,20480.0,2024.9,783.6,12.5
68066,Colmar,25.1,19850.0,1799.0,607.3,10.9
55122,Commercy,31.0,17860.0,1664.9,775.1,10.0
60159,Compiègne,24.4,19860.0,,662.2,11.1
32107,Condom,41.0,18530.0,,,
16106,Confolens,44.5,20200.0,,,
2B096,Corte,19.8,19560.0,,,
58086,Cosne-Cours-sur-Loire,41.6,19990.0,,,
50147,Coutances,31.5,19210.0,,1061.2,11.2
40088,Dax,35.6,19310.0,,,
26113,Die,36.6,20100.0,,,
76217,Dieppe,34.7,17810.0,,798.2,10.9
04070,Digne-les-Bains,33.0,20230.0,2775.4,694.9,12.9
21231,Dijon,22.7,21650.0,1848.8,760.5,11.0
22050,Dinan,37.0,21780.0,,,
39198,Dole,31.6,19890.0,,996.9,10.5
59178,Douai,23.4,17590.0,,,
83050,Draguignan,28.2,20380.0,,,
28134,Dreux,21.9,17170.0,,,
59183,Dunkerque,27.6,19090.0,,,
51230,Épernay,27.7,19380.0,,,
88160,Épinal,26.7,19030.0,1734.4,923.7,9.9
91223,Étampes,17.9,19210.0,1798.0,598.3,10.8
27229,Évreux,22.3,17630.0,1684.0,611.6,
91228,Évry-Courcouronnes,14.9,18050.0,,,
46102,Figeac,33.8,21240.0,,,
48061,Florac Trois Rivières,33.6,19870.0,,,
09122,Foix,32.9,20160.0,,,
77186,Fontainebleau,,25470.0,,734.0,11.0
85092,Fontenay-le-Comte,38.5,19990.0,,,
57227,Forbach,26.6,16660.0,,,
04088,Forcalquier,36.5,19520.0,,,
35115,Fougères,32.099999999999994,19430.0,,,
05061,Gap,29.9,21160.0,,,
01173,Gex,14.2,32900.0,,1042.0,9.2
46127,Gourdon,47.2,19860.0,,,
06069,Grasse,25.8,21850.0,,,
38185,Grenoble,19.7,21050.0,,923.9,13.4
23096,Guéret,32.1,19840.0,,,
22070,Guingamp,26.9,17360.0,,,
67180,Haguenau,24.5,21720.0,,,
63178,Issoire,29.5,20690.0,,,
36088,Issoudun,36.0,19850.0,1840.7,737.1,11.8
13047,Istres,25.200000000000003,21720.0,,,
17197,Jonzac,,19070.0,,,
36046,La Châtre,45.6,19250.0,1840.7,737.1,11.8
72154,La Flèche,31.5,20400.0,1772.0,687.5,
85191,La Roche-sur-Yon,26.8,21050.0,,,
17300,La Rochelle,29.9,20690.0,2105.5,767.0,13.4
38509,La Tour-du-Pin,25.5,18320.0,,,
33227,Langon,33.1,18910.0,,,
52269,Langres,29.6,19510.0,,,
22113,Lannion,29.6,21940.0,,,
02408,Laon,25.2,17140.0,,,
07132,Largentière,35.8,17740.0,,,
53130,Laval,,20340.0,,,
