,City,Dentist,Dermatologist,GP,Gynécologist,Ophtalmologist,Pédiatrician,Rank,department,thousand_nights_in_hotels,thousand_nights_in_campsites,population,density,rate_60_and_over,median_income,attractiveness_rank,solar_exposure,precipitation,temperature
80001,Abbeville,81.0,233.0,14.0,107.0,154.0,181.0,232.0,Somme,933.0,1124.0,22837.0,864.4,29.8,17910.0,731,,,
47001,Agen,162.0,239.0,53.0,95.0,260.0,65.0,263.0,Lot-et-Garonne,394.0,365.0,33012.0,2873.1,24.1,18180.0,70,,725.9,13.1
13001,Aix-en-Provence,32.0,53.0,3.0,8.0,30.0,20.0,1.0,Bouches-du-Rhône,6724.0,1689.0,143097.0,769.0,24.4,24340.0,94,2861.0,585.8,14.3
2A004,Ajaccio,11.0,90.0,7.0,19.0,53.0,66.0,4.0,Corse-du-Sud,1874.0,2154.0,70817.0,863.3,28.6,21480.0,36,2755.8,615.6,15.5
73011,Albertville,237.0,154.0,9.0,174.0,222.0,234.0,276.0,Savoie,3499.0,806.0,19214.0,1095.4,28.3,19740.0,301,,,
81004,Albi,185.0,142.0,7.0,356.0,132.0,164.0,269.0,Tarn,492.0,288.0,48993.0,1106.9,31.9,20360.0,117,2250.0,730.9,13.4
30007,Alès,48.0,199.0,8.0,77.0,196.0,123.0,175.0,Gard,1451.0,3420.0,40802.0,1761.7,32.5,16830.0,492,,,
68004,Altkirch,144.0,5.0,117.0,188.0,,,230.0,Haut-Rhin,2975.0,759.0,5698.0,597.3,25.1,22610.0,1420,,,
63003,Ambert,62.0,,6.0,,190.0,,218.0,Puy-de-Dôme,1910.0,1045.0,6634.0,109.7,36.5,20860.0,3207,1938.3,873.3,9.9
80021,Amiens,21.0,90.0,5.0,93.0,33.0,46.0,12.0,Somme,933.0,1124.0,133891.0,2707.1,19.7,18550.0,160,,691.9,10.7
44003,Ancenis-St-Géréon,163.0,284.0,13.0,,101.0,,277.0,Loire-Atlantique,3307.0,2722.0,7656.0,381.0,,,1066,,781.6,12.7
49007,Angers,109.0,145.0,68.0,86.0,79.0,89.0,155.0,Maine-et-Loire,1348.0,711.0,154508.0,3617.6,22.4,20100.0,3,1798.5,693.3,12.3
16015,Angoulême,118.0,146.0,5.0,76.0,108.0,73.0,65.0,Charente,468.0,152.0,41711.0,1909.0,25.1,18850.0,211,2089.3,843.2,12.8
74010,Annecy,56.0,193.0,8.0,57.0,30.0,33.0,32.0,Haute-Savoie,4887.0,1545.0,128199.0,1915.4,25.8,24830.0,1,2053.1,1249.4,10.9
84003,Apt,203.0,141.0,5.0,69.0,226.0,154.0,303.0,Vaucluse,2223.0,1756.0,11011.0,247.0,32.900000000000006,17620.0,3109,,,
33009,Arcachon,16.0,154.0,1.0,106.0,94.0,15.0,127.0,Gironde,4665.0,5280.0,11567.0,1530.0,57.3,24920.0,248,,979.5,12.5
65025,Argelès-Gazost,37.0,213.0,14.0,182.0,26.0,61.0,179.0,Hautes-Pyrénées,2789.0,895.0,2901.0,951.1,44.7,20780.0,6743,,,
61006,Argentan,94.0,167.0,5.0,144.0,120.0,,260.0,Orne,328.0,111.0,13730.0,755.2,32.6,18410.0,780,,,
95018,Argenteuil,132.0,117.0,2.0,52.0,17.0,10.0,48.0,Val-d'Oise,4080.0,,110213.0,6400.3,16.9,18270.0,65,,,
13004,Arles,106.0,85.0,9.0,89.0,96.0,123.0,138.0,Bouches-du-Rhône,6724.0,1689.0,51031.0,67.2,32.0,18770.0,44,,580.2,14.8
62041,Arras,143.0,217.0,2.0,75.0,20.0,59.0,61.0,Pas-de-Calais,2555.0,799.0,41555.0,3573.1,21.7,18870.0,134,,739.9,10.6
23008,Aubusson,34.0,9.0,,264.0,,,261.0,Creuse,123.0,136.0,3328.0,173.2,43.0,18040.0,2823,,973.4,9.8
32013,Auch,104.0,317.0,2.0,98.0,242.0,141.0,186.0,Gers,221.0,390.0,22200.0,306.3,32.8,20240.0,328,1928.6,685.4,13.1
15014,Aurillac,69.0,134.0,15.0,128.0,343.0,20.0,174.0,Cantal,445.0,337.0,25531.0,887.7,32.6,20700.0,52,2117.5,1174.0,10.2
71014,Autun,74.0,,3.0,201.0,,,235.0,Saône-et-Loire,1453.0,553.0,13157.0,213.9,37.1,18940.0,707,,,
89024,Auxerre,148.0,155.0,1.0,51.0,104.0,49.0,42.0,Yonne,725.0,232.0,34764.0,696.0,28.7,19040.0,536,1748.6,707.9,11.5
89025,Avallon,187.0,,10.0,,4.0,,283.0,Yonne,725.0,232.0,6513.0,243.5,34.1,18450.0,2060,,806.7,11.5
59036,Avesnes-sur-Helpe,105.0,253.0,5.0,95.0,8.0,21.0,264.0,Nord,3868.0,317.0,4345.0,1881.0,26.8,15140.0,4934,,,
84007,Avignon,95.0,110.0,4.0,52.0,144.0,172.0,54.0,Vaucluse,2223.0,1756.0,91729.0,1413.2,23.9,16580.0,9,,676.6,14.9
50025,Avranches,143.0,124.0,9.0,235.0,205.0,117.0,258.0,Manche,1277.0,1336.0,10246.0,932.3,33.8,20850.0,48,,,
65059,Bagnères-de-Bigorre,63.0,241.0,14.0,,103.0,,215.0,Hautes-Pyrénées,2789.0,895.0,7103.0,56.4,43.4,19430.0,1978,,,
55029,Bar-le-Duc,239.0,153.0,5.0,133.0,12.0,,137.0,Meuse,240.0,89.0,14733.0,623.8,30.200000000000003,19860.0,390,1726.9,843.7,10.9
04019,Barcelonnette,105.0,342.0,73.0,125.0,,,251.0,Alpes-de-Haute-Provence,764.0,1803.0,2575.0,156.8,33.1,19500.0,4647,,,
2B033,Bastia,76.0,104.0,5.0,75.0,,,35.0,Haute-Corse,1329.0,1997.0,48044.0,2479.1,25.7,19100.0,20,,,
14047,Bayeux,64.0,45.0,10.0,61.0,119.0,122.0,53.0,Calvados,3556.0,2163.0,13017.0,1833.4,36.5,19860.0,383,,927.2,11.2
64102,Bayonne,111.0,156.0,3.0,142.0,2.0,56.0,153.0,Pyrénées-Atlantiques,2683.0,2197.0,51411.0,2371.4,26.3,20040.0,2,,1482.9,13.7
21054,Beaune,156.0,74.0,5.0,54.0,167.0,,155.0,Côte-d'Or,2544.0,379.0,20711.0,661.7,30.9,21300.0,264,,,
60057,Beauvais,14.0,64.0,16.0,56.0,12.0,16.0,7.0,Oise,1285.0,169.0,56605.0,1699.3,22.3,18470.0,106,1669.4,669.4,10.7
90010,Belfort,41.0,152.0,8.0,41.0,133.0,43.0,33.0,Territoire de Belfort,310.0,41.0,46954.0,2745.8,23.6,18230.0,283,,1122.3,10.1
87011,Bellac,126.0,,9.0,,143.0,,272.0,Haute-Vienne,706.0,211.0,3652.0,149.5,44.4,18650.0,2428,,922.3,11.9
01034,Belley,127.0,100.0,6.0,31.0,192.0,54.0,122.0,Ain,1311.0,592.0,9122.0,406.9,28.700000000000003,19900.0,902,,1479.0,11.2
24037,Bergerac,80.0,95.0,4.0,96.0,70.0,36.0,13.0,Dordogne,1008.0,3463.0,26823.0,478.1,38.2,18700.0,212,1976.0,788.3,13.1
27056,Bernay,130.0,101.0,14.0,104.0,344.0,21.0,168.0,Eure,620.0,187.0,9951.0,414.1,36.7,19480.0,586,,,
25056,Besançon,114.0,129.0,89.0,51.0,224.0,41.0,153.0,Doubs,1082.0,344.0,116775.0,1795.2,23.2,19570.0,215,1836.4,1187.0,11.0
