,Communes,Classement
0,NEUVILLETTE,23133
1,NOUVION ET CATILLON,27552
2,NOUVION LE COMTE,28057
3,NOYANT ET ACONIN,9449
4,OHIS,15458
5,OLLEZY,16848
6,OSLY COURTIL,12232
7,PARFONDRU,11760
8,PARGNAN,28222
9,PARGNY LA DHUYS,31974
10,PLEINE SELVE,26129
11,PLOMION,28131
12,PREMONT,17235
13,PRESLES ET BOVES,22241
14,PRISCES,32516
15,PROUVAIS,30119
16,RAMICOURT,21172
17,RESSONS LE LONG,20659
18,REUILLY SAUVIGNY,18471
19,ROCOURT ST MARTIN,16162
20,ST ALGIS,21052
21,ST BANDRY,26283
22,STE CROIX,23776
23,ST ERME OUTRE ET RAMECOURT,21891
24,ST GOBAIN,9568
25,ST GOBERT,31271
26,ST NICOLAS AUX BOIS,18424
27,ST THIBAUT,22261
28,SAPONAY,27053
29,SAULCHERY,10103
30,SERVAIS,11357
31,SISSONNE,24060
32,SORBAIS,23328
33,TROESNES,23107
34,UGNY LE GAY,17301
35,VADENCOURT,12703
36,VAILLY SUR AISNE,8865
37,LA VALLEE AU BLE,25472
38,VENEROLLES,20621
39,VENIZEL,6881
40,VEZILLY,32569
41,LA VILLE AUX BOIS LES DIZY,32650
42,LA VILLE AUX BOIS LES PONTAVERT,29649
43,VILLEQUIER AUMONT,5377
44,VILLERS HELON,32058
45,VOULPAIX,30893
46,VOYENNE,24367
47,WATIGNY,14362
48,ARFEUILLES,33472
49,BARRAIS BUSSOLLES,28242
50,BILLEZOIS,22766
51,BILLY,11086
52,BRESNAY,32109
53,CESSET,27851
54,CHAPEAU,32561
55,LA CHAPELLE,19160
56,LA CHAPELLE AUX CHASSES,34065
57,CHARMEIL,1670
58,CHATELPERRON,31671
59,CHIRAT L EGLISE,32764
60,CINDRE,27536
61,COMMENTRY,3420
62,CONTIGNY,11228
63,COULANDON,13273
64,COULANGES,32337
65,CRECHY,21081
66,CUSSET,730
67,DEUX CHAISES,27489
68,DIOU,13498
69,DOMERAT,2586
70,DOYET,11028
71,ECHASSIERES,27062
72,LA FERTE HAUTERIVE,31602
73,FLEURIEL,32492
74,FRANCHESSE,32611
75,GARNAT SUR ENGIEVRE,27402
76,GENNETINES,12112
77,HURIEL,5312
78,ISSERPENT,32499
79,LALIZOLLE,29692
80,LAMAIDS,24818
81,LANGY,21267
82,LAPRUGNE,31264
83,LAVAULT STE ANNE,2843
84,LENAX,32318
85,LETELON,18515
86,LIMOISE,34134
87,LOUROUX BOURBONNAIS,33786
88,LUSIGNY,12935
89,HAUT BOCAGE,29144
90,HAUT BOCAGE,29144
91,MALICORNE,7843
92,MARCENAT,19354
93,LE MAYET DE MONTAGNE,13463
94,MAZIRAT,25619
95,MOLLES,18863
96,MONETAY SUR ALLIER,26049
97,MONTCOMBROUX LES MINES,33126
98,MONTVICQ,18581
99,NOYANT D ALLIER,28459
100,LE PIN,33656
101,REUGNY,23414
102,ROCLES,28861
103,ST BONNET DE FOUR,22798
104,ST CLEMENT,31097
105,ST ENNEMOND,27401
106,ST FARGEOL,23582
107,ST GENEST,12724
108,ST GERMAIN DE SALLES,26214
109,ST MARCEL EN MURAT,26755
110,ST PALAIS,33650
111,ST PLAISIR,33167
112,ST POURCAIN SUR BESBRE,29416
113,ST POURCAIN SUR SIOULE,3440
114,ST PRIEST D ANDELOT,13585
115,STE THERENCE,25277
116,ST VICTOR,5577
117,TARGET,29982
118,THIEL SUR ACOLIN,24942
119,TORTEZAIS,33862
120,TREIGNAT,28875
121,TRETEAU,33082
122,TRONGET,25623
123,USSEL D ALLIER,23817
124,VALIGNY,32859
125,VARENNES SUR ALLIER,5852
126,VAUMAS,32845
127,VICHY,177
128,VICQ,21069
129,VIPLAIX,34127
130,VOUSSAC,29757
131,BARCELONNETTE,4647
132,BARRAS,24863
133,BAYONS,34560
134,BAYONS,34560
135,BEAUJEU,34393
136,UBAYE SERRE PONCON,979
137,CASTELLANE,12411
138,CASTELLET LES SAUSSES,34780
139,CERESTE,23426
140,CHAMPTERCIER,10694
141,CHATEAU ARNOUX ST AUBAN,8425
142,DAUPHIN,15337
143,DEMANDOLX,33069
144,DRAIX,33805
145,ENTRAGES,17419
146,ENTREPIERRES,24300
147,ENTREVENNES,32391
148,FONTIENNE,30374
149,LA NEUVILLE HOUSSET,28966
150,FORCALQUIER,3775
151,NOGENTEL,5305
152,MALIJAI,21760
153,NOUVION ET CATILLON,27552
154,MANOSQUE,804
155,NOUVRON VINGRE,29098
156,MEAILLES,33317
157,OISY,16836
158,MIRABEAU,17866
159,ORIGNY STE BENOITE,21897
160,LES OMERGUES,34658
161,OULCHES LA VALLEE FOULON,29710
162,LA PALUD SUR VERDON,1028
163,OULCHY LE CHATEAU,25884
164,PEIPIN,10869
165,PARCY ET TIGNY,26499
166,MEOLANS REVEL,30725
167,PARGNY LES BOIS,24459
168,RIEZ,15320
169,PASLY,4199
170,LA ROBINE SUR GALABRE,30312
171,PLOISY,12582
172,LA ROBINE SUR GALABRE,30312
173,PONTRU,11872
174,LA ROBINE SUR GALABRE,30312
175,PRIEZ,26665
176,LA ROBINE SUR GALABRE,30312
177,PROISY,23617
178,ROUGON,32482
179,RAILLIMONT,31942
180,ST JURS,33518
181,ROGECOURT,17658
182,ST MARTIN LES EAUX,17476
183,RONCHERES,29854
184,SENEZ,33188
185,ROUGERIES,32502
186,TARTONNE,34049
187,ROZIERES SUR CRISE,10652
188,THOARD,26115
189,ROZOY SUR SERRE,26969
190,UVERNET FOURS,19223
191,STE GENEVIEVE,31735
