,Territoire,Dentiste,Dermatologue,Généraliste,Gynécologue,Ophtalmologue,Pédiatre,Rang sur 314,Hôtels_de_tourisme_(en_milliers_de_nuitées,Campings (en_milliers_de_nuitées),Département,Superficie,Population,Densité,Classement,precipitation,ensoleillement,temperature,part_60_et_plus_2018,revenu_disp_par_UC_2018
80001,Abbeville,81.0,233.0,14.0,107.0,154.0,181.0,232.0,933,1124 ,Somme,6170,572744,92.82722852512155,731,,,,29.8,17910.0
47001,Agen,162.0,239.0,53.0,95.0,260.0,65.0,263.0,394,365 ,Lot-et-Garonne,5361,332833,62.08412609587764,70,,,,24.1,18180.0
13001,Aix-en-Provence,32.0,53.0,3.0,8.0,30.0,20.0,1.0,6724,1689 ,Bouches-du-Rhône,5087,2019717,397.03499115392174,94,585.8,2861.0,14.3,24.4,24340.0
2A004,Ajaccio,11.0,90.0,7.0,19.0,53.0,66.0,4.0,1 874,2154 ,Corse-du-Sud,4014,154303,38.4412057797708,36,615.6,2755.8,15.5,28.6,21480.0
73011,Albertville,237.0,154.0,9.0,174.0,222.0,234.0,276.0,3499,806 ,Savoie,6028,429681,71.28085600530856,301,,,,28.3,19740.0
81004,Albi,185.0,142.0,7.0,356.0,132.0,164.0,269.0,492,288 ,Tarn,5758,386448,67.11497047585968,117,730.9,2113.2,13.4,31.9,20360.0
61001,Alençon,147.0,87.0,15.0,89.0,143.0,65.0,117.0,328,111 ,Orne,6103,285308,46.7488120596428,258,,,,29.4,18200.0
30007,Alès,48.0,199.0,8.0,77.0,196.0,123.0,175.0,1451,3420 ,Gard,5853,742006,126.77362036562448,492,735.0,,13.2,32.5,16830.0
68004,Altkirch,144.0,,5.0,117.0,188.0,,230.0,2975,759 ,Haut-Rhin,3525,762743,216.3809929078014,1420,,,,25.1,22610.0
63003,Ambert,62.0,,6.0,,190.0,,218.0,1910,1045 ,Puy-de-Dôme,7970,650700,81.64366373902133,3207,873.3,1938.3,9.9,36.5,20860.0
80021,Amiens,21.0,90.0,5.0,93.0,33.0,46.0,12.0,933,1124 ,Somme,6170,572744,92.82722852512155,160,691.9,,10.7,19.7,18550.0
44003,Ancenis-St-Géréon,163.0,284.0,13.0,,101.0,,277.0,3307,2722 ,Loire-Atlantique,6881,1380852,200.676064525505,1066,781.6,,12.7,,
49007,Angers,109.0,145.0,68.0,86.0,79.0,89.0,155.0,1348,711 ,Maine-et-Loire,7107,810934,114.10355987055016,3,693.3,1798.5,12.3,22.4,20100.0
16015,Angoulême,118.0,146.0,5.0,76.0,108.0,73.0,65.0,468,152 ,Charente,5956,353288,59.316319677636,211,843.2,2089.3,12.8,25.1,18850.0
74010,Annecy,56.0,193.0,8.0,57.0,30.0,33.0,32.0,4887,1 545 ,Haute-Savoie,4388,801416,182.63810391978123,1,1249.4,2053.1,10.9,25.8,24830.0
84003,Apt,203.0,141.0,5.0,69.0,226.0,154.0,303.0,2223,1756 ,Vaucluse,3567,559014,156.71825063078217,3109,750.0,,,32.9,17620.0
33009,Arcachon,16.0,154.0,1.0,106.0,94.0,15.0,127.0,4665,5280 ,Gironde,9976,1566679,157.04480753809142,248,,,,57.3,24920.0
65025,Argelès-Gazost,,213.0,14.0,182.0,26.0,61.0,179.0,2789,895 ,Hautes-Pyrénées,4464,227829,51.0369623655914,6743,,,,44.7,20780.0
61006,Argentan,94.0,167.0,5.0,144.0,120.0,,260.0,328,111 ,Orne,6103,285308,46.7488120596428,780,,,,32.6,18410.0
95018,Argenteuil,132.0,117.0,2.0,52.0,17.0,10.0,48.0,4080,nd ,Val-d'Oise,1246,1221923,980.6765650080256,65,,,,16.9,18270.0
13004,Arles,106.0,85.0,9.0,89.0,96.0,123.0,138.0,6724,1689 ,Bouches-du-Rhône,5087,2019717,397.03499115392174,44,580.2,,14.8,32.0,18770.0
62041,Arras,143.0,217.0,2.0,75.0,20.0,59.0,61.0,2555,799 ,Pas-de-Calais,6671,1470725,220.4654474591516,134,739.9,,10.6,21.7,18870.0
23008,Aubusson,34.0,,9.0,,264.0,,261.0,123,136 ,Creuse,5565,119502,21.473854447439354,2823,,,,43.0,18040.0
32013,Auch,104.0,317.0,2.0,98.0,242.0,141.0,186.0,221,390 ,Gers,6257,190664,30.47211123541633,328,685.4,1928.6,13.1,32.8,20240.0
15014,Aurillac,69.0,134.0,15.0,128.0,343.0,20.0,174.0,445,337 ,Cantal,5726,145969,25.49231575270695,52,1174.0,2117.5,10.2,32.6,20700.0
71014,Autun,74.0,,3.0,,201.0,,235.0,1453,553 ,Saône-et-Loire,8575,555023,64.72571428571429,707,,,,37.1,18940.0
89024,Auxerre,148.0,155.0,1.0,51.0,104.0,49.0,42.0,725,232 ,Yonne,7427,340544,45.8521610340649,536,707.9,1748.6,11.5,28.7,19040.0
89025,Avallon,187.0,,10.0,,,,283.0,725,232 ,Yonne,7427,340544,45.8521610340649,2060,806.7,,11.5,34.1,18450.0
59036,Avesnes-sur-Helpe,105.0,253.0,5.0,95.0,8.0,21.0,264.0,3868,317 ,Nord,5743,2603723,453.3733240466655,4934,,,,26.8,15140.0
84007,Avignon,95.0,110.0,4.0,52.0,144.0,172.0,54.0,2223,1756 ,Vaucluse,3567,559014,156.71825063078217,9,676.6,,14.9,23.9,16580.0
